3303.575: [GC 3303.575: [ParNew: 444695K->27910K(471872K), 0.0409170 secs] 2183372K->1766588K(11361088K), 0.0411670 secs] [Times: user=0.41 sys=0.00, real=0.05 secs] 
3348.723: [GC 3348.724: [ParNew: 447366K->36864K(471872K), 0.0595840 secs] 2186044K->1775541K(11361088K), 0.0598550 secs] [Times: user=0.47 sys=0.01, real=0.06 secs] 
3399.560: [GC 3399.560: [ParNew: 456320K->27162K(471872K), 0.0453880 secs] 2194997K->1774130K(11361088K), 0.0456440 secs] [Times: user=0.43 sys=0.01, real=0.05 secs] 
3519.334: [GC 3519.334: [ParNew: 446618K->22538K(471872K), 0.0419470 secs] 2193586K->1773208K(11361088K), 0.0421940 secs] [Times: user=0.35 sys=0.02, real=0.04 secs] 
3976.836: [GC 3976.836: [ParNew: 441994K->24319K(471872K), 0.0646820 secs] 2192664K->1780846K(11361088K), 0.0649380 secs] [Times: user=0.36 sys=0.03, real=0.06 secs] 
4198.525: [GC 4198.525: [ParNew: 443775K->15509K(471872K), 0.0555920 secs] 2200302K->1777018K(11361088K), 0.0558340 secs] [Times: user=0.37 sys=0.03, real=0.05 secs] 
4887.131: [GC 4887.131: [ParNew: 434965K->16454K(471872K), 0.0619760 secs] 2196474K->1779575K(11361088K), 0.0622280 secs] [Times: user=0.42 sys=0.01, real=0.07 secs] 
5563.878: [GC 5563.878: [ParNew: 435910K->18374K(471872K), 0.0661340 secs] 2199031K->1782208K(11361088K), 0.0663860 secs] [Times: user=0.41 sys=0.01, real=0.06 secs] 
6166.734: [GC 6166.734: [ParNew: 437830K->23336K(471872K), 0.0807430 secs] 2201664K->1787419K(11361088K), 0.0809690 secs] [Times: user=0.44 sys=0.00, real=0.08 secs] 
6827.301: [GC 6827.301: [ParNew: 442792K->19941K(471872K), 0.0753490 secs] 2206875K->1788380K(11361088K), 0.0756080 secs] [Times: user=0.36 sys=0.02, real=0.08 secs] 
