67.087: [GC [PSYoungGen: 316351K->18730K(323264K)] 800815K->510892K(1022336K), 0.0714390 secs] [Times: user=0.10 sys=0.03, real=0.07 secs] 
67.778: [GC [PSYoungGen: 316138K->18390K(324800K)] 808300K->518103K(1023872K), 0.0782840 secs] [Times: user=0.11 sys=0.02, real=0.08 secs] 
68.378: [GC [PSYoungGen: 317846K->24703K(324160K)] 817559K->532255K(1023232K), 0.0575810 secs] [Times: user=0.13 sys=0.02, real=0.06 secs] 
69.038: [GC [PSYoungGen: 324159K->15704K(316736K)] 831711K->534278K(1015808K), 0.0971020 secs] [Times: user=0.12 sys=0.03, real=0.10 secs] 
69.604: [GC [PSYoungGen: 307096K->18008K(320448K)] 825670K->542578K(1019520K), 0.0535750 secs] [Times: user=0.12 sys=0.01, real=0.05 secs] 
70.212: [GC [PSYoungGen: 309400K->16572K(321728K)] 833970K->545676K(1020800K), 0.0538320 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
70.708: [GC [PSYoungGen: 310012K->18999K(321216K)] 839116K->553420K(1020288K), 0.0631690 secs] [Times: user=0.09 sys=0.01, real=0.06 secs] 
71.174: [GC [PSYoungGen: 312439K->18052K(323200K)] 846860K->560512K(1022272K), 0.0504740 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
71.630: [GC [PSYoungGen: 314308K->18255K(322560K)] 856768K->568049K(1021632K), 0.0442580 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
72.064: [GC [PSYoungGen: 314511K->17273K(324352K)] 864305K->572748K(1023424K), 0.0577680 secs] [Times: user=0.09 sys=0.01, real=0.05 secs] 
72.712: [GC [PSYoungGen: 316025K->14883K(323904K)] 871500K->576142K(1022976K), 0.0365300 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
73.147: [GC [PSYoungGen: 313635K->22260K(322816K)] 874894K->589412K(1021888K), 0.0805160 secs] [Times: user=0.12 sys=0.00, real=0.08 secs] 
73.727: [GC [PSYoungGen: 319924K->17576K(323584K)] 887076K->592051K(1022656K), 0.0638730 secs] [Times: user=0.10 sys=0.01, real=0.06 secs] 
74.221: [GC [PSYoungGen: 315240K->14091K(323968K)] 889715K->595545K(1023040K), 0.0535830 secs] [Times: user=0.11 sys=0.04, real=0.06 secs] 
74.644: [GC [PSYoungGen: 312651K->18674K(324032K)] 894105K->605326K(1023104K), 0.0511640 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
75.110: [GC [PSYoungGen: 317234K->19409K(324736K)] 903886K->614210K(1023808K), 0.0459730 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
75.556: [GC [PSYoungGen: 319185K->18885K(324544K)] 913986K->621126K(1023616K), 0.0481190 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
76.025: [GC [PSYoungGen: 318661K->18710K(325632K)] 920902K->624741K(1024704K), 0.0538360 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
